Andy Lark is the sspeaker of events in which countries	GBR|AUS
Philip Day is the sspeaker of events in which countries	USA
Nathaniel Schutta is the sspeaker of events in which countries	USA|GBR
Christopher J. Storch is the sspeaker of events in which countries	CHE
Sameer Doshi is the sspeaker of events in which countries	USA
Rodrigo Campos is the sspeaker of events in which countries	GBR
Steve Bjorg is the sspeaker of events in which countries	USA
Soren Andersen is the sspeaker of events in which countries	NLD
Medya Ghazizadeh is the sspeaker of events in which countries	USA
Paul Winsor is the sspeaker of events in which countries	GBR
Cheryl McKinnon is the sspeaker of events in which countries	USA
Sascha Möllering is the sspeaker of events in which countries	DEU
Jose Vicente Gomar is the sspeaker of events in which countries	DEU
David Shackelford is the sspeaker of events in which countries	USA
Liam Casey is the sspeaker of events in which countries	ISR|HKG|USA
Kyle Burnett is the sspeaker of events in which countries	USA
Allison Schiff is the sspeaker of events in which countries	USA
Malcolm Murphy is the sspeaker of events in which countries	GBR
Gabriel Catrina is the sspeaker of events in which countries	GBR
Steven Goldfried is the sspeaker of events in which countries	USA
Bazil Akmal Bidin is the sspeaker of events in which countries	MYS
Christopher Caswell is the sspeaker of events in which countries	USA
José Daniel García Espinel is the sspeaker of events in which countries	ESP
José Andrés is the sspeaker of events in which countries	USA
Amy Lu is the sspeaker of events in which countries	USA
Caroline Walerud is the sspeaker of events in which countries	NOR|SWE
Dave Wascha is the sspeaker of events in which countries	CHE
Miki Yarkoni is the sspeaker of events in which countries	USA
Jennifer Nason is the sspeaker of events in which countries	HKG|USA
Monika Doyle is the sspeaker of events in which countries	USA
Denyse Cardozo is the sspeaker of events in which countries	USA
Rafael Brinhosa is the sspeaker of events in which countries	USA
Ari Klein is the sspeaker of events in which countries	USA
Zvi Peleg is the sspeaker of events in which countries	ISR
Elise McCallum is the sspeaker of events in which countries	USA
Joshua Johnson is the sspeaker of events in which countries	USA
Valentino Constantinou is the sspeaker of events in which countries	USA
Kewei Sun is the sspeaker of events in which countries	USA
Ashley Crick is the sspeaker of events in which countries	CHN
Todd Linden is the sspeaker of events in which countries	USA
Oliver Sussat is the sspeaker of events in which countries	USA
Colin McCabe is the sspeaker of events in which countries	USA
Steven Eidelman is the sspeaker of events in which countries	USA
Beena Ammanath is the sspeaker of events in which countries	ESP|USA
Sandra Trittin is the sspeaker of events in which countries	DEU|USA
Jimmy Bogard is the sspeaker of events in which countries	USA|GBR|NOR|SWE
Vasiliy Soshnikov is the sspeaker of events in which countries	RUS|USA
Gurpreet Singh is the sspeaker of events in which countries	JPN|IDN|IND
Jeff Eaton is the sspeaker of events in which countries	USA
Bethan Wolfenden is the sspeaker of events in which countries	GBR
Matz Lukmani is the sspeaker of events in which countries	ROM
Maria Carvalho is the sspeaker of events in which countries	CAN
Axel Bialke is the sspeaker of events in which countries	JPN
Richard H. Veldran is the sspeaker of events in which countries	USA
David Wells is the sspeaker of events in which countries	USA
Alex Keybl is the sspeaker of events in which countries	USA
Katica Roy is the sspeaker of events in which countries	ESP|PRT|USA
Max Benator is the sspeaker of events in which countries	USA
David Diallo is the sspeaker of events in which countries	DEU
David Liniado is the sspeaker of events in which countries	USA
Martin Mumford is the sspeaker of events in which countries	USA
Ramesh Ratan is the sspeaker of events in which countries	USA
Christoph Janz is the sspeaker of events in which countries	DEU|FRA|IRL|USA
Narayan Bharadwaj is the sspeaker of events in which countries	USA
Paulin Dementhon is the sspeaker of events in which countries	ESP|FRA|GBR|DEU
Sasha Mirchandani is the sspeaker of events in which countries	IND
Atul Khanzode is the sspeaker of events in which countries	USA
Andreas Stolcke is the sspeaker of events in which countries	USA
Andre Araujo is the sspeaker of events in which countries	USA|GBR
Coen Sanderink is the sspeaker of events in which countries	USA|GBR
Isabel Fernandez is the sspeaker of events in which countries	GBR
Jeremias Heinrich is the sspeaker of events in which countries	DEU
Ali Paterson is the sspeaker of events in which countries	DNK|SGP|GBR|ESP|USA
Matthias Wilcken is the sspeaker of events in which countries	DEU
Cindy Gu is the sspeaker of events in which countries	CAN|USA
Jennifer Zeszut is the sspeaker of events in which countries	USA|GBR
Callie Babbitt is the sspeaker of events in which countries	USA
Paulien Melis is the sspeaker of events in which countries	USA
Angela Davies is the sspeaker of events in which countries	USA
Art Wong is the sspeaker of events in which countries	USA
Graeme Cox is the sspeaker of events in which countries	FRA|GBR
Grace James is the sspeaker of events in which countries	SRB
Vivian Wong is the sspeaker of events in which countries	USA
Yonatan Bergman is the sspeaker of events in which countries	ISR
Diana Shaw is the sspeaker of events in which countries	USA
Sara Hendren is the sspeaker of events in which countries	USA
Sam Santhosh is the sspeaker of events in which countries	USA
Albert Lewitinn is the sspeaker of events in which countries	USA
Simon Davies is the sspeaker of events in which countries	GBR
Joanna Matanowska is the sspeaker of events in which countries	CZE
Toby Horry is the sspeaker of events in which countries	GBR
Sheila Gulati is the sspeaker of events in which countries	USA
Ken Munro is the sspeaker of events in which countries	USA|GBR
Bernd Wendeln is the sspeaker of events in which countries	GBR
Nicola La Gloria is the sspeaker of events in which countries	USA
Tauhid Ali is the sspeaker of events in which countries	ISR
Erik Neandross is the sspeaker of events in which countries	USA
Jeffrey Goldfarb is the sspeaker of events in which countries	USA
Alexandra Suich is the sspeaker of events in which countries	USA
Tish Shute is the sspeaker of events in which countries	USA|CHN
