Otto Kekäläinen is the sponsor of events in which countries	DEU|SRB
Michele L Pace is the sponsor of events in which countries	USA
Jesse Pärnänen is the sponsor of events in which countries	GBR|FIN
Felix Wong is the sponsor of events in which countries	CHN
Anand Subramanian is the sponsor of events in which countries	USA
Sara Spangelo is the sponsor of events in which countries	USA
Ben Fenster is the sponsor of events in which countries	USA
Tudor Ciuleanu is the sponsor of events in which countries	MLT
Evgeny Kayumov is the sponsor of events in which countries	ESP
BRAEDEN LICHTI is the sponsor of events in which countries	USA
Miguel Caballero is the sponsor of events in which countries	ESP
Lee Blankenship is the sponsor of events in which countries	USA
Peter Olausson is the sponsor of events in which countries	USA
Sam Clifton is the sponsor of events in which countries	FIN
Szymon Klimczak is the sponsor of events in which countries	ISR
Mohith Agadi is the sponsor of events in which countries	USA|IND
Max Blumberg is the sponsor of events in which countries	GBR
Sharlyn Lauby is the sponsor of events in which countries	GBR
Jason Price is the sponsor of events in which countries	USA
Mark Galvin is the sponsor of events in which countries	GBR
Ciprian Melian is the sponsor of events in which countries	USA
Phill Keene is the sponsor of events in which countries	USA
Chris Laudando is the sponsor of events in which countries	USA
Phillip Nordwall is the sponsor of events in which countries	USA
Dirk Stoltenberg is the sponsor of events in which countries	GBR
Pradeepa Somasundaram is the sponsor of events in which countries	IRL
Md Shakil Ahmed Shawon is the sponsor of events in which countries	USA
Alasdair Allan is the sponsor of events in which countries	USA
Toby Mather is the sponsor of events in which countries	GBR
Eric Garcetti is the sponsor of events in which countries	USA
Thomas Balkizas MSC, MEng, MIoD is the sponsor of events in which countries	GBR|DEU|ARE|USA|BGR
Luke Klima is the sponsor of events in which countries	DEU
Secure Channels Inc. is the sponsor of events in which countries	USA
Faisal Aftab is the sponsor of events in which countries	PAK
Franklin Johnson is the sponsor of events in which countries	USA
Todd Walsh is the sponsor of events in which countries	USA
Masaru Sakamoto is the sponsor of events in which countries	USA
Roya Sabeti is the sponsor of events in which countries	USA
Janel Garvin is the sponsor of events in which countries	USA
Rick Cutright is the sponsor of events in which countries	USA
Jordan Wahbeh is the sponsor of events in which countries	USA
Evgeny Gorokhov is the sponsor of events in which countries	USA
Vivien Natasen is the sponsor of events in which countries	BRA
Ryan Baxter is the sponsor of events in which countries	USA
Amali de Alwis is the sponsor of events in which countries	PRT|GBR|FIN
Jan Bednar is the sponsor of events in which countries	USA
Melanie Tantingco is the sponsor of events in which countries	USA
Adam Stanley is the sponsor of events in which countries	USA
Ash Tapia is the sponsor of events in which countries	USA
Marlon Fleck is the sponsor of events in which countries	DEU
Stephen Taormina Teacher is the sponsor of events in which countries	SWE
Joe Daniels is the sponsor of events in which countries	USA
Tolga Arican is the sponsor of events in which countries	TUR
Vikas Tripathi is the sponsor of events in which countries	DNK|SGP|GBR|AUT|CHE|CAN|HKG|ITA|ARE|JPN|USA
John Bernard is the sponsor of events in which countries	ESP|USA
Matt Baker is the sponsor of events in which countries	USA
Jorge Salamero Sanz is the sponsor of events in which countries	USA
Mihajlo Kitanoski is the sponsor of events in which countries	USA
Elia Montanari is the sponsor of events in which countries	FIN
Dr. Alexander N. Jablovski is the sponsor of events in which countries	CHE
Tony Robbins is the sponsor of events in which countries	USA
Fred Wilson is the sponsor of events in which countries	USA
Kevin Davidson is the sponsor of events in which countries	ESP
Isabella Schidrich is the sponsor of events in which countries	ESP
Bruce Bale is the sponsor of events in which countries	GBR
Cyril Lemaire is the sponsor of events in which countries	USA
Geraldine Le Meur is the sponsor of events in which countries	FRA
Roger King is the sponsor of events in which countries	USA
Nicole Adamson is the sponsor of events in which countries	AUS
Cammila Yochabell is the sponsor of events in which countries	IRL
Karl-Heinz Oehler is the sponsor of events in which countries	GBR
Manana Samuseva is the sponsor of events in which countries	USA
Matt Ballantine is the sponsor of events in which countries	GBR
Nguyen Vu Tuan Anh is the sponsor of events in which countries	PRT
Julian A. Bodenschatz is the sponsor of events in which countries	CHE|NOR
Stephan Clambaneva is the sponsor of events in which countries	USA
Stephanie Palmeri is the sponsor of events in which countries	USA
Andrey Bugaevski is the sponsor of events in which countries	SGP
Ilya Sukhar is the sponsor of events in which countries	USA
Elio Assuncao is the sponsor of events in which countries	GBR
Rachel Berry is the sponsor of events in which countries	USA
Francesco Baschieri is the sponsor of events in which countries	USA
Karnika Yashwant is the sponsor of events in which countries	GBR|IND
Brian Bodik is the sponsor of events in which countries	USA
Viktor Manev is the sponsor of events in which countries	BGR
Sylvain Forté is the sponsor of events in which countries	GBR
Chad Schumacher is the sponsor of events in which countries	USA
Andrew Lewman is the sponsor of events in which countries	USA
Stephen Cavey is the sponsor of events in which countries	SGP|USA
AL Sulit’ani Vhra- Lam Shakur Bey is the sponsor of events in which countries	MAR
Andrei Savin is the sponsor of events in which countries	NLD
Jonn Kean is the sponsor of events in which countries	USA
Jawad Nasrullah is the sponsor of events in which countries	USA
Kyle Hall is the sponsor of events in which countries	USA
Jun Hyuk Ahn is the sponsor of events in which countries	KOR
Patricia Schwartz is the sponsor of events in which countries	USA
Adam Kostyal is the sponsor of events in which countries	ESP
Travis Vu is the sponsor of events in which countries	VNM
Andrew Chakhoyan is the sponsor of events in which countries	CHN
Alexandra Kulachikova is the sponsor of events in which countries	DEU|TUR
