adx	ADX
afm	AFM
altx	ALTX
amex	AMEX
ams	AMS
asce	ASCE
asx	ASX
ath	ATH
bcba	BCBA
bdp	BDP
belex	BELEX
bey	BEY
bfb	BFB
bit	BIT
bkk	BKK
blse	BLSE
bm	BM
bme	BME
bmv	BMV
bom	BOM
brvm	BRVM
bse	BSE
bsse	BSSE
bul	BUL
bvc	BVC
bvfb	BVFB
bvm	BVM
bvmf	BVMF
bvmt	BVMT
bx	BX
cas	CAS
cise	CISE
cnsx	CNSX
col	COL
cph	CPH
cse	CSE
csx	CSX
cve	TSX-V
dfm	DFM
dse	DSE
dsx	DSX
ebr	EBR
egx	EGX
eli	ELI
epa	EPA
eta	ETA
etr	ETR
eurex	EUREX
euronext	EURONEXT
fbovespa	FBOVESPA
fra	FRA
fwb	FWB
gha	GHA
gsx	GSX
hel	HEL
hkg	HKG
hnx	HNX
hose	HOSE
ice	ICE
idx	IDX
ifb	IFB
ime	IME
irenex	IRENEX
ise	ISE
ist	IST
isx	ISX
jp	JP
jsc	JSC
jse	JSE
kase	KASE
klse	KLSE
kosdaq	KOSDAQ
krx	KRX
kse	KSE
lje	LJE
lon	LON
lse	LSE
lsm	LSM
lsx	LSX
luse	LuSE
luxse	LuxSE
mal	MAL
mcx	MCX
meff	MEFF
mnse	MNSE
moex	MOEX
mse	MSE
msei	MESI
msm	MSM
nasdaq	NASDAQ
nbo	NBO
neeq	NEEQ
nepse	NEPSE
ngm	NGM
nig	NIG
npex	NPEX
nse	NSE
nsx	NSX
nyse	NYSE
nysearca	NYSEARCA
nysemkt	NYSEMKT
nyx	NYX
nze	NZE
opex	OPEX
ose	OSE
osl	OSL
otcbb	OTCBB
otcmkts	OTCMKTS
otcpink	OTC Pink
otcqb	OTCQB
otcqx	OTCQX
pdex	PDEx
pfts	PFTS
pomsox	POMSoX
prg	PRG
pse	PSE
qse	QSE
rse	RSE
rsebl	RSEBL
sase	SASE
sbx	SBX
sehk	SEHK
sem	SEM
sgbv	SGBV
sgx	SGX
sha	SHA
she	SHE
six	SIX
spbex	SPBEX
spse	SPSE
ssb	SSB
sse	SSE
ssx	SSX
sto	STO
swx	SWX
sto	STO
swx	SWX
szse	SZSE
tadawul	Tadawul
tal	TAL
tfex	TFEX
tlv	TLV
tpe	TPE
tse	TSE
tsec	TSEC
tsx	TSX
tyo	TYO
use	USE
ux	UX
vie	VIE
vmf	VMF
vse	VSE
vtx	VTX
wse	WSE
ysx	YSX
zamace	ZAMACE
zse	ZSE
