main_chain,question,simple_constraint,temporal_constraint,aggregation_max_constraint,aggregation_sum_constraint,aggregation_count_entity_constraint,selection_constraint,type
org1-is_acquirer-acquisition-is_acquiree-org2,what are the organizations acquired by [org1],,,,,,,
org-is_acquirer-acquisition-type_of-acquisition_type,[org] had what types of acquisitions,,,,,,,
org-is_acquirer-acquisition-acquired_on-date,when did [org]'s acquisitions take place,,,,,,,numeric
org-is_acquirer-acquisition-price_usd-acquisition_price,list of acquisition price from [org]'s acquisitions,,,,,,,numeric
org1-is_acquiree-acquisition-is_acquirer-org2,[org1] was acquired by which company,,,,,,,
org-is_acquiree-acquisition-type_of-acquisition_type,[org] was acquired in what type of acquisition,,,,,,,
org-is_acquiree-acquisition-acquired_on-date,when was [org] acquired,,,,,,,numeric
org-is_acquiree-acquisition-price_usd-acquisition_price,for how much was [org] acquired,,,,,,,numeric
org-org_ipo-ipo-country_code-country_code,[org] launched its ipo in which country,,,,,,,
org-org_ipo-ipo-stock_exchange_symbol-stock_exchange_symbol,what is the stock exchange symbol of [org]'s ipo,,,,,,,
org-org_ipo-ipo-went_public_on-date,when did [org] go public,,,,,,,numeric
org-org_ipo-ipo-share_price_usd-share_price,what is the share price of [org]'s ipo,,,,,,,numeric
org-org_ipo-ipo-raised_amount_usd-raised_price,how much did [org] raise in its ipo,,,,,,,numeric
org-in_org-job-has_job-person,list of people that work in [org],,,,,,,
person-has_job-job-in_org-org,[person] works for which org,,,,,,,
person-has_job-job-job_title-job_title,[person]'s job title,,,,,,,
person-has_job-job-job_type-job_type,what types of job does [person] have,,,,,,,
acquisition_type-type_of-acquisition-is_acquirer-org,organizations that had [acquisition_type] acquisitions,,,,,,,
acquisition_type-type_of-acquisition-is_acquiree-org,organizations that were acquired in [acquisition_type] acquisition,,,,,,,
date-acquired_on-acquisition-is_acquirer-org,list of companies that made an acquisition during [date],,,,,,,temporal
date-acquired_on-acquisition-is_acquirer-org,list of companies that made an acquisition during [date],,,,,,,temporal
date-acquired_on-acquisition-is_acquiree-org,list of companies acquired during [date],,,,,,,temporal
date-acquired_on-acquisition-is_acquiree-org,list of companies aquired during [date],,,,,,,temporal
date-went_public_on-ipo-org_ipo-org,list of organizations that launched ipo during [date],,,,,,,temporal
country_code-country_code-ipo-org_ipo-org,list of organizations that launched ipo in [country_code],,,,,,,
country_code-country_code-ipo-stock_exchange_symbol-stock_exchange_symbol,what are the stock exchange symbols of ipos in [country_code],,,,,,,
stock_exchange_symbol-stock_exchange_symbol-ipo-org_ipo-org,list organizations that launched their ipos on [stock_exchange_symbol],,,,,,,
job_title-job_title-job-has_job-person,list of people who are [job_title]s,,,,,,,
job_type-job_type-job-has_job-person,list of people with [job_type] jobs,,,,,,,
